# phrase|conversation podstawy
zovem se|nazywam się|Zovem se Marko.|Nazywam się Marko.
višekratno|wielokrotnie|To se može koristiti višekratno.|Można tego używać wielokrotnie.
neprestano|nieustannie|Kiša neprestano pada.|Deszcz pada nieustannie.
neprekidno|bez przerwy|Radi neprekidno.|Pracuje bez przerwy.
ostatak dana|przez resztę dnia|Ostatak dana sam slobodan.|Przez resztę dnia jestem wolny.
otprilike|mniej więcej|Traje otprilike sat vremena.|Trwa mniej więcej godzinę.
netočno|niepoprawnie|To je netočno napisano.|To jest napisane niepoprawnie.
naizgled|na pozór|Naizgled je sve u redu.|Na pozór wszystko jest w porządku.
uistinu|naprawdę|To je uistinu lijepo.|To jest naprawdę piękne.
zaista|rzeczywiście|Zaista mi je žao.|Rzeczywiście jest mi przykro.
posve|całkiem|Posve sam zaboravio.|Całkiem zapomniałem.
osobito|szczególnie|Osobito volim more.|Szczególnie lubię morze.
pogotovo|zwłaszcza|Volim voće, pogotovo jabuke.|Lubię owoce, zwłaszcza jabłka.
ponajprije|przede wszystkim|Ponajprije trebamo odmor.|Przede wszystkim potrzebujemy odpoczynku.
usput|po drodze, przy okazji|Kupit ću kruh usput.|Kupię chleb po drodze.
zasebno|osobno|To se plaća zasebno.|Za to płaci się osobno.
naizmjence|na zmianę|Vozimo naizmjence.|Prowadzimy na zmianę.
naopako|na odwrót|Majica je naopako.|Koszulka jest na odwrót.
van|na zewnątrz|Idem van.|Wychodzę na zewnątrz.
odande|stamtąd|Dolazim odande.|Przychodzę stamtąd.
ovamo|tutaj, w tę stronę|Dođi ovamo.|Podejdź tutaj.
kamo|dokąd|Kamo ideš?|Dokąd idziesz?
kuda|którędy, dokąd|Kuda vodi ovaj put?|Dokąd prowadzi ta droga?
odakle|skąd|Odakle dolaziš?|Skąd przychodzisz?
dokle|dokąd, do kiedy|Dokle ostaješ?|Do kiedy zostajesz?
# pronoun|podstawy
njegov|jego|To je njegov pas.|To jego pies.
njezin|jej|Ovo je njezin kaput.|To jej płaszcz.
vaš|wasz, pana, pani|Je li ovo vaš stol?|Czy to państwa stół?
njihov|ich|To je njihov automobil.|To ich samochód.
taj|ten wskazany|Taj čovjek je moj susjed.|Ten człowiek jest moim sąsiadem.
ovakav|taki jak ten|Želim ovakav kaput.|Chcę taki płaszcz.
onakav|taki jak tamten|Želim onakav bicikl.|Chcę taki rower jak tamten.
čiji|czyj|Čiji je ovo pas?|Czyj to pies?
svačiji|każdego, należący do każdego|Poštujem svačiji trud.|Szanuję wysiłek każdego.
ničiji|niczyj|Ovaj pas nije ničiji.|Ten pies nie należy do nikogo.
nečiji|czyjś|Ovo je nečiji novčanik.|To jest czyjś portfel.
išta|cokolwiek|Imaš li išta za jelo?|Czy masz cokolwiek do jedzenia?
išta drugo|cokolwiek innego|Želiš li išta drugo?|Czy chcesz cokolwiek innego?
svašta|różne rzeczy, wszystko możliwe|Na tržnici ima svašta.|Na targu są najróżniejsze rzeczy.
itko|ktokolwiek|Ima li itko ovdje?|Czy jest tu ktokolwiek?
# preposition|podstawy
pokraj|obok|Sjedim pokraj prozora.|Siedzę obok okna.
uoči|w przeddzień, tuż przed|Stigli smo uoči blagdana.|Przyjechaliśmy w przeddzień święta.
povodom|z okazji|Čestitam ti povodom rođendana.|Składam ci życzenia z okazji urodzin.
posred|pośrodku|Stol stoji posred sobe.|Stół stoi pośrodku pokoju.
nadomak|w pobliżu, niemal przy|More je nadomak kuće.|Morze jest tuż przy domu.
# conjunction|podstawy
premda|chociaż|Idem premda sam umoran.|Idę, chociaż jestem zmęczony.
ukoliko|jeśli|Nazovi ukoliko trebaš pomoć.|Zadzwoń, jeśli potrzebujesz pomocy.
štoviše|co więcej|To je korisno, štoviše nužno.|To jest przydatne, co więcej — konieczne.
osim ako|chyba że|Doći ću osim ako budem bolestan.|Przyjdę, chyba że będę chory.
# particle|podstawy
zar|czyżby|Zar je već ponoć?|Czyżby była już północ?
baš|właśnie, naprawdę|Baš mi je drago.|Naprawdę się cieszę.
čak|nawet|Čak i on to zna.|Nawet on to wie.
jedva|ledwo|Jedva čekam.|Nie mogę się doczekać.
# phrase|podstawy daily
kako se ovo izgovara|jak się to wymawia|Kako se ovo izgovara?|Jak się to wymawia?
možete li to zapisati|czy może pan to zapisać|Možete li to zapisati?|Czy może pan to zapisać?
kako se kaže na hrvatskom|jak się mówi po chorwacku|Kako se kaže na hrvatskom?|Jak się mówi po chorwacku?
nije mi jasno|nie jest to dla mnie jasne|Nije mi jasno.|Nie jest to dla mnie jasne.
razumijem samo malo|rozumiem tylko trochę|Razumijem samo malo.|Rozumiem tylko trochę.
tek učim hrvatski|dopiero uczę się chorwackiego|Tek učim hrvatski.|Dopiero uczę się chorwackiego.
pogriješio sam|pomyliłem się|Pogriješio sam.|Pomyliłem się.
ispravite me|proszę mnie poprawić|Ispravite me ako griješim.|Proszę mnie poprawić, jeśli się mylę.
što ta riječ znači|co znaczy to słowo|Što ta riječ znači?|Co znaczy to słowo?
to nisam znao|tego nie wiedziałem|To nisam znao.|Tego nie wiedziałem.
hvala na objašnjenju|dziękuję za wyjaśnienie|Hvala na objašnjenju.|Dziękuję za wyjaśnienie.
još jednom, molim|jeszcze raz, proszę|Još jednom, molim.|Jeszcze raz, proszę.
možete li mi pokazati|czy może pan mi pokazać|Možete li mi pokazati?|Czy może pan mi pokazać?
može i tako|tak też może być|Može i tako.|Tak też może być.
meni je svejedno|mnie jest wszystko jedno|Meni je svejedno.|Mnie jest wszystko jedno.
što ti preporučuješ|co polecasz|Što ti preporučuješ?|Co polecasz?
to mi odgovara|to mi pasuje|To mi odgovara.|To mi pasuje.
ne odgovara mi taj termin|nie pasuje mi ten termin|Ne odgovara mi taj termin.|Nie pasuje mi ten termin.
javi kad budeš mogao|odezwij się, kiedy będziesz mógł|Javi kad budeš mogao.|Odezwij się, kiedy będziesz mógł.
ne žuri se|nie spiesz się|Ne žuri se.|Nie spiesz się.
imamo dovoljno vremena|mamy wystarczająco dużo czasu|Imamo dovoljno vremena.|Mamy wystarczająco dużo czasu.
ponestaje nam vremena|kończy nam się czas|Ponestaje nam vremena.|Kończy nam się czas.
nastavit ćemo poslije|będziemy kontynuować później|Nastavit ćemo poslije.|Będziemy kontynuować później.
ostavimo to za sutra|zostawmy to na jutro|Ostavimo to za sutra.|Zostawmy to na jutro.
sjeti me se|pamiętaj o mnie|Sjeti me se.|Pamiętaj o mnie.
podsjeti me sutra|przypomnij mi jutro|Podsjeti me sutra.|Przypomnij mi jutro.
reci mi na vrijeme|powiedz mi w porę|Reci mi na vrijeme.|Powiedz mi w porę.
zaboravio sam ponijeti|zapomniałem zabrać|Zaboravio sam ponijeti kišobran.|Zapomniałem zabrać parasol.
ostavio sam to kod kuće|zostawiłem to w domu|Ostavio sam to kod kuće.|Zostawiłem to w domu.
jesi li siguran|czy jesteś pewien|Jesi li siguran?|Czy jesteś pewien?
ne sjećam se točno|nie pamiętam dokładnie|Ne sjećam se točno.|Nie pamiętam dokładnie.
sada se sjećam|teraz pamiętam|Sada se sjećam.|Teraz pamiętam.
provjerit ću|sprawdzę|Provjerit ću.|Sprawdzę.
samo da uzmem torbu|tylko wezmę torbę|Samo da uzmem torbu.|Tylko wezmę torbę.
pričekaj me vani|poczekaj na mnie na zewnątrz|Pričekaj me vani.|Poczekaj na mnie na zewnątrz.
naći ćemo se ispred|spotkamy się przed|Naći ćemo se ispred hotela.|Spotkamy się przed hotelem.
još sam na putu|jeszcze jestem w drodze|Još sam na putu.|Jeszcze jestem w drodze.
stigao sam na vrijeme|dotarłem na czas|Stigao sam na vrijeme.|Dotarłem na czas.
žao mi je zbog kašnjenja|przepraszam za spóźnienie|Žao mi je zbog kašnjenja.|Przepraszam za spóźnienie.
krenimo polako|ruszajmy powoli|Krenimo polako.|Ruszajmy powoli.
idemo pješice|idziemy pieszo|Idemo pješice.|Idziemy pieszo.
nije daleko odavde|to niedaleko stąd|Nije daleko odavde.|To niedaleko stąd.
malo sam se izgubio|trochę się zgubiłem|Malo sam se izgubio.|Trochę się zgubiłem.
vratimo se istim putem|wróćmy tą samą drogą|Vratimo se istim putem.|Wróćmy tą samą drogą.
možeš li me otpratiti|czy możesz mnie odprowadzić|Možeš li me otpratiti?|Czy możesz mnie odprowadzić?
nazovi kad stigneš kući|zadzwoń, kiedy dotrzesz do domu|Nazovi kad stigneš kući.|Zadzwoń, kiedy dotrzesz do domu.
ugodno mi je ovdje|dobrze mi tutaj|Ugodno mi je ovdje.|Dobrze mi tutaj.
raskomoti se|rozgość się|Raskomoti se.|Rozgość się.
ima još ako želiš|jest jeszcze, jeśli chcesz|Ima još ako želiš.|Jest jeszcze, jeśli chcesz.
uzeo bih još malo|wziąłbym jeszcze trochę|Uzeo bih još malo.|Wziąłbym jeszcze trochę.
za mene je dovoljno|dla mnie wystarczy|Za mene je dovoljno.|Dla mnie wystarczy.
ne moraš se truditi|nie musisz się trudzić|Ne moraš se truditi.|Nie musisz się trudzić.
mogu li ti pomoći oko toga|czy mogę ci przy tym pomóc|Mogu li ti pomoći oko toga?|Czy mogę ci przy tym pomóc?
ostavi, ja ću|zostaw, ja to zrobię|Ostavi, ja ću.|Zostaw, ja to zrobię.
lijepo smo se proveli|dobrze się bawiliśmy|Lijepo smo se proveli.|Dobrze się bawiliśmy.
moramo to ponoviti|musimy to powtórzyć|Moramo to ponoviti.|Musimy to powtórzyć.
pozdravi svoje|pozdrowienia dla twoich bliskich|Pozdravi svoje.|Pozdrów swoich bliskich.
sretan put kući|szczęśliwej drogi do domu|Sretan put kući!|Szczęśliwej drogi do domu!
čujemo se ovih dana|usłyszymy się w najbliższych dniach|Čujemo se ovih dana.|Usłyszymy się w najbliższych dniach.
ne daj se|trzymaj się, nie poddawaj się|Ne daj se!|Nie poddawaj się!
bit će bolje|będzie lepiej|Bit će bolje.|Będzie lepiej.
nisi sam|nie jesteś sam|Nisi sam.|Nie jesteś sam.
puno mi to znači|to wiele dla mnie znaczy|Puno mi to znači.|To wiele dla mnie znaczy.
ne želim smetati|nie chcę przeszkadzać|Ne želim smetati.|Nie chcę przeszkadzać.
nazvat ću kasnije|zadzwonię później|Nazvat ću kasnije.|Zadzwonię później.
imaš li trenutak|czy masz chwilę|Imaš li trenutak?|Czy masz chwilę?
u čemu je problem|w czym problem|U čemu je problem?|W czym problem?
pokušajmo još jednom|spróbujmy jeszcze raz|Pokušajmo još jednom.|Spróbujmy jeszcze raz.
ne znam kako dalje|nie wiem, co dalej|Ne znam kako dalje.|Nie wiem, co dalej.
naći ćemo rješenje|znajdziemy rozwiązanie|Naći ćemo rješenje.|Znajdziemy rozwiązanie.
sve ćemo dogovoriti|wszystko ustalimy|Sve ćemo dogovoriti.|Wszystko ustalimy.
jedno po jedno|po kolei|Rješavamo jedno po jedno.|Rozwiązujemy po kolei.
korak po korak|krok po kroku|Idemo korak po korak.|Idziemy krok po kroku.
sad je na tebi red|teraz twoja kolej|Sad je na tebi red.|Teraz twoja kolej.
pustimo ga da govori|pozwólmy mu mówić|Pustimo ga da govori.|Pozwólmy mu mówić.
nisam tako mislio|nie to miałem na myśli|Nisam tako mislio.|Nie to miałem na myśli.
pogrešno si me razumio|źle mnie zrozumiałeś|Pogrešno si me razumio.|Źle mnie zrozumiałeś.
ispričavam se zbog toga|przepraszam za to|Ispričavam se zbog toga.|Przepraszam za to.
nema razloga za brigu|nie ma powodu do zmartwień|Nema razloga za brigu.|Nie ma powodu do zmartwień.
važno je pokušati|ważne, żeby spróbować|Važno je pokušati.|Ważne, żeby spróbować.
to se svakome dogodi|to się każdemu zdarza|To se svakome dogodi.|To się każdemu zdarza.
ubuduće ću paziti|na przyszłość będę uważać|Ubuduće ću paziti.|Na przyszłość będę uważać.
je li sve spremno|czy wszystko jest gotowe|Je li sve spremno?|Czy wszystko jest gotowe?
jučer navečer|wczoraj wieczorem|Stigao sam jučer navečer.|Przyjechałem wczoraj wieczorem.
prekosutra ujutro|pojutrze rano|Vidimo se prekosutra ujutro.|Widzimy się pojutrze rano.
prošli mjesec|w zeszłym miesiącu|Bio sam tamo prošli mjesec.|Byłem tam w zeszłym miesiącu.
svaki drugi dan|co drugi dzień|Treniram svaki drugi dan.|Trenuję co drugi dzień.
